"Add Tax","Adicionar Juros"
"Apply on Price","Aplicar ao Preço"
"Base of calculation.","Base de cálculo."
"Base Price Only","Apenas no Preço Base"
"Below a list of things that I expect to implement in the next version of SplitPrice module:","Abaixo uma lista de coisas que eu espero implementar nas próximas versões deste módulo:<br>
                    - (bug) não esta parcelando quando é configurável na listagem de catálogo<br>
                    - (bug) página detalhe de um produto agrupado, parcela está posicionando errado<br>
                    - (bug) não esta parcelando resultado de buscas<br>
                    - implementar a opção de exibir todas as parcelas numeradas<br>
                    - implementar parcelamento nos produtos em widget (ex.: venda cruzada)<br>
                    - implementar configuração para escolher se deseja calcular o preço base ou especial<br><br>
                    Se você tem outras idéias ou sugestões, entre em contato <a href='https://mariosam.com.br/contato/' target='_blank'>Mario SAM</a>.<br>
                    Se você adorou este módulo gratuito, pode me recompensar com uma doação no <a href='https://www.padrim.com.br/mariosam' target='_blank'>Padrim</a>. Obrigado!"
"Block name reference in your theme.","Nome do bloco de referência do seu tema."
"Cart Shopping Block Position","Posição no Bloco do seu Carrinho"
"Catalog Block Position","Posição no Bloco do seu Catálogo"
"CSS reference in your theme.","Referência CSS do seu tema."
"Custom CSS","Customizar CSS"
"Custom JS","Customizar JS"
"ex.: 2%; 5%; 10%; (numbers only)","ex.: 2%; 5%; 10%; (insira apenas números)"
"ex.: 2x; 6x; 12x; (numbers only)","ex.: 2x; 6x; 12x; (insira apenas números)"
"ex.: Search results; Categories; Home;","ex.: Resultados de busca; Categorias; Home;"
"Expected for the next SplitPrice versions","Esperado para as próximas versões"
"How to use SplitPrice? Access the Mario SAM blog and read the post.","Como usar? Acesse o blog <a href='https://mariosam.com.br/versao2/modulo-m2-parcelamento' target='_blank'>Mario SAM</a> e leia o artigo."
"Mario SAM","Mario SAM"
"Maximum Splits","Máximo de Parcelas"
"Module Enable","Habilitar Módulo"
"My Contact","Meu Contato"
"No","Não"
"or %1x of ","ou %1x de "
"or %1x of %2","ou %1x de %2"
"Pay in %1x of ","Pague em até %1x de "
"Pay in %1x of %2","Pague em até %1x de %2"
"Product Page Block Position","Posição no Bloco da sua Página de Produto"
"Promo Price Only","Apenas no Preço Promocional"
"Promo Price (if exist) > Base Price","Preço Promocional (se existir) > Preço Base"
"Show all split values","Mostrar todas as parcelas possíveis"
"Show all splits price until the maximum.","Exibir o valor de todas as parcelas até o seu máximo."
"Show in Catalog List?","Exibir na Lista de Catálogo?"
"Show in Product Page?","Exibir na Página do Produto?"
"Show in Shoppnig Cart?","Exibir na Página do Carrinho?"
"Split Price","Preço Parcelado"
"Split Price Presentation","Apresentação do Parcelamento"
"Split Price Settings","Configurações do Parcelamento"
"When you see the page details of the product.","Quando você acessa a página de detalhes de um produto."
"When you see the shopping cart page.","Quando você acessa a página do carrinho de compras."
"Yes","Sim"
"You can add personal css script.","Você pode adicionar/customizar seu css."
"You can add personal javascript code.","Você pode adicionar/customizar seu javascript."